Test de inteligencia	Futbolistas
7	18
7	7
9	18
8	21
7	5
7	7
8	5
4	6
10	6
4	0
8	15
10	23
7	23
9	12
7	10
5	27
4	4
7	23
6	7
9	2
6	17
9	3
9	20
10	17
9	6
8	9
7	8
8	23
10	28
8	26
8	23
6	10
8	19
6	20
7	24
9	25
6	27
8	5
6	4
4	8
8	2
5	21
8	0
6	7
8	10
5	8
10	10
8	10
10	6
9	0
8	10
10	0
9	0
9	8
10	0
3	4
7	4
10	5
8	22
8	7
7	15
8	10
9	8
6	7
8	22
8	1
7	13
7	19
9	13
5	18
8	20
6	7
8	7
9	18
7	22
9	17
7	2
10	24
9	4
9	7
7	10
8	5
9	23
7	19
8	12
7	19
8	10
8	22
