Test de inteligencia	Futbolistas
6	7
8	10
5	8
10	10
8	10
10	6
9	0
8	10
10	0
9	0
9	8
10	0
3	4
7	4
10	5
8	22
8	7
7	15
8	10
9	8
6	7
8	22
8	1
7	13
7	19
9	13
5	18
8	20
6	7
8	7
9	18
7	22
9	17
7	2
10	24
9	4
9	7
7	10
8	5
9	23
7	19
8	12
7	19
8	10
8	22
